SAMPLE	normalized_mChrC_cov	HOST
37	80.79704383	Triticum
117	81.29495844	Triticum
127	79.80589701	Triticum
169	80.20069312	Triticum
204	79.44662344	Triticum
205	78.33250569	Triticum
363	78.68393534	Zea
364	92.53191769	Oryza
658	95.93756205	Oryza
678	95.28104839	Oryza
10100	96.65512588	Oryza
10880	95.89176781	Oryza
032i	80.95066014	Triticum
053i	80.98155889	Triticum
12.0.007i	80.00376254	Triticum
12.0.009i	79.97081847	Triticum
12.0.012i	80.49309151	Triticum
12.0.051i	76.70223124	Triticum
12.0.073	87.81152502	Lolium
12.0.194	77.73746788	Triticum
12.0.321	83.02763342	Lolium
12.0.326	84.73316825	Lolium
12.0.345	85.11046494	Lolium
12.0.347	81.77494417	Lolium
12.0.368	85.00522403	Lolium
12.0.534i	81.29596015	Eleusine
12.0.535i	76.82344126	Triticum
12.0.555i	90.48859192	Lolium
12.0.642i	80.79455255	Triticum
12.1.014	81.75725527	Triticum
12.1.037	77.02254619	Triticum
12.1.078	87.32499375	Triticum
12.1.181	86.58692715	Triticum
12.1.217	87.22045325	Lolium
12.1.225	77.89940437	Triticum
12.1.234	84.88222221	Triticum
12.1.241	82.29853193	Triticum
12.1.291	78.07114036	Triticum
13FM-16-1	100	Oryza
13FM-24-1	99.16665691	Oryza
13FM-3-2	100	Oryza
13FM-5-1	99.04488609	Oryza
13FM-9-1	100	Oryza
70-15	81.27680865	Oryza
76_3	81.2146645	Oryza
82_0835	100	Oryza
90_4_1	99.60014486	Oryza
98-06	70.3581008	Oryza
A-PH-38	97.44080964	Oryza
A-PH-71	99.20683634	Oryza
A-PHL-39-	96.27521796	Oryza
A-PHL-64	88.67470457	Brachiaria_1
AG0004	89.51181125	Oryza
AG002	98.02132843	Oryza
AG006	97.32441402	Oryza
AG032	100	Oryza
AG038	100	Oryza
AG039	100	Oryza
AG059	100	Oryza
AG098	98.75761541	Oryza
Arcadia	70.94441716	Setaria
ARG-60	88.79829523	Brachiaria_1
ARG-61	89.94355373	Brachiaria_1
AV1-1-1	99.30212131	Oryza
B157	90.91117161	Oryza
B51	68.10940605	Eleusine
B71	84.50293869	Triticum
BD0024	97.66040339	Oryza
Bd8401	68.14743244	Brachiaria_2
BdBar16-1	83.97207463	Triticum
BF17	96.13617446	Oryza
BF32	100	Oryza
BF48	98.96143329	Oryza
BF5	95.66125203	Oryza
BJ-90-611	100	Oryza
BJ08-8	100	Oryza
BJ08-8-1	100	Oryza
Bm88324	82.43555634	Brachiaria_1
BN0123	94.70428779	Oryza
BN0202	99.17574987	Oryza
BN0252	99.33141538	Oryza
BN0293	100	Oryza
BR0026	95.88150289	Oryza
Br116.5	68.18919316	Triticum
Br118.2	68.52050424	Triticum
BR32	73.10788434	Triticum
Br35	58.29401739	Brachiaria_1
Br48	76.39504722	Triticum
Br62	78.33939557	Eleusine
Br7	69.14781647	Triticum
Br80	71.37880027	Triticum
BTAr-A1	95.82928942	Oryza
BTBa-B1	89.10216301	Triticum
BTBa-B2	89.14368748	Triticum
BTGP1_b	90.25963434	Triticum
BTGS6e	89.59983401	Triticum
BTGS6f	89.54555472	Triticum
BTGS6g	90.36187146	Triticum
BTGS6h	90.44042623	Triticum
BTJP4_1	88.91576338	Triticum
BTJP4_11	90.31284662	Triticum
BTJP4_12	90.58534085	Triticum
BTJP4_15	89.56247519	Triticum
BTJP4_16	90.52349928	Triticum
BTJP4_18	90.00619334	Triticum
BTJP4_2	89.55858284	Triticum
BTJP4_3	90.94521522	Triticum
BTJP4_5	89.74732482	Triticum
BTJP4_6	90.21604204	Triticum
BTJP4_9	90.25161966	Triticum
BTMP_S13_1	88.90272985	Triticum
BTMP_S13_2	90.3688025	Triticum
BTTrp-5	86.13977313	Brachiaria_2
BTTrp-6	90.91624689	Brachiaria_2
CD0065	100	Oryza
CD0073-1	97.55636655	Oryza
CD0142	95.59544731	Oryza
CD0203	100	Oryza
CH0043	78.05095875	Oryza
CH0052	97.85111649	Oryza
CH0063	82.06108513	Oryza
CH0072	79.61114002	Oryza
CH0092	100	Oryza
CH0328	93.74873907	Oryza
CH0333	80.75417629	Oryza
CH0452	93.41339732	Oryza
CH0461	78.38309009	Oryza
CH0532	90.52027077	Oryza
CH0549	99.49226393	Oryza
CH0595	94.01022	Oryza
CH0680	93.62862563	Oryza
CH0689	95.38449981	Oryza
CH0701	94.04769984	Oryza
CH0860	100	Oryza
CH0999	74.10642928	Oryza
CH1016	75.36756555	Oryza
CH1019	75.41722415	Oryza
CH1103	76.32440309	Oryza
CH1164	79.97813501	Oryza
CL0026	92.50170928	Oryza
CL3.6.7	98.13303367	Oryza
CM0028	97.10223707	Oryza
DB11-621	100	Oryza
Dig41	88.32884472	Digitaria
E-BRD-1-	100	Oryza
E-BRD-52	97.12306069	Oryza
E-BRD-54	100	Oryza
E-BRD-55	98.57297227	Oryza
E-KEN-29	93.46832001	Oryza
E-KYA-65	95.73450061	Oryza
E-RWD-4-	100	Oryza
E-RWD-41	100	Oryza
E-RWD-43	100	Oryza
E-TZA-21-	90.14518628	Oryza
E-TZA-22-	99.35325039	Oryza
E-TZA-25	94.23156178	Oryza
E-TZA-69	94.19896414	Oryza
E-TZA-70	91.77444518	Oryza
E-TZN-22	92.14596118	Oryza
E-TZN-24	94.81186347	Oryza
E-TZN-27	91.16170167	Oryza
E-UGA-34	97.8363336	Oryza
