SAMPLE	normalized_mChrA_cov	HOST
CH1016	8.826986204	Oryza
AG002	8.938912881	Oryza
AG032	9.699397049	Oryza
TH0017	10.31617506	Oryza
CH0999	10.37362724	Oryza
LA0021	10.45463716	Oryza
TH0014	10.8060939	Oryza
CH1019	10.98080167	Oryza
98-06	12.56195134	Oryza
YN8773R-27	12.60442906	Oryza
YN8773-19	12.66846808	Oryza
LA0005	13.04697413	Oryza
CH0072	13.80457344	Oryza
CH1164	14.04332902	Oryza
PR003	14.33337262	Oryza
CH0689	14.60600637	Oryza
CH1103	14.8348634	Oryza
CH0461	14.91301532	Oryza
CH0043	14.93697357	Oryza
FJ81-ZP	15.39054378	Oryza
NP0037	15.45757566	Oryza
MG05	15.80159024	Setaria
Guy11	15.83363427	Oryza
FJ81-JY	16.49681825	Oryza
YN08181e	16.64587617	Oryza
MG08	16.67188276	Setaria
70-15	16.76882342	Oryza
PR0009	17.31032392	Oryza
NP0052	17.31987402	Oryza
AG059	17.53214152	Oryza
Arcadia	17.54776471	Setaria
NP0061	17.70700552	Oryza
FJ81221ZB11-14	17.74009483	Oryza
CH0333	17.77803909	Oryza
FJ43ZB15-68	17.83115086	Oryza
TW-12YL-DL3-2	17.92648738	Oryza
San_Andrea	17.96831803	Oryza
CH0680	18.17493148	Oryza
CH0860	18.24705131	Oryza
CH0328	18.3198558	Oryza
13FM-16-1	18.33234804	Oryza
CH0063	18.34544605	Oryza
AG038	18.80668458	Oryza
INA168	18.84661477	Oryza
CH0532	19.00470986	Oryza
13FM-5-1	19.05292354	Oryza
13FM-24-1	19.23522756	Oryza
ZJ2011-7-1	19.45672665	Oryza
76_3	19.51363756	Oryza
CH0595	19.59704315	Oryza
JS09-138	19.68874916	Oryza
FJ86-CT	19.80053789	Oryza
TW-12HL-DF1-2	20.00304871	Oryza
TW-PT1-1	20.04662202	Oryza
YN072313	20.0654033	Oryza
TW-6-2-2-B-1	20.08883729	Oryza
FJ78-JJ	20.32774649	Oryza
YN126441	20.37821127	Oryza
IN0054	20.53096906	Oryza
VT0027	20.57498343	Oryza
